Day,Hour,GEOTHERMAL,BIOMASS,BIOGAS,SMALL HYDRO,WIND TOTAL,SOLAR
2011/5/1,1,1042,267,128,524,555,0
,2,1044,283,103,526,530,0
,3,1043,285,115,517,541,0
,4,1043,290,121,516,664,0
,5,1044,292,120,527,677,0
,6,1044,288,107,528,546,0
,7,1045,286,105,539,389,0
,8,1044,279,111,548,322,36
,9,1043,288,122,551,367,235
,10,1041,286,130,552,486,304
,11,1039,287,160,547,521,324
,12,1038,276,160,551,444,329
,13,1037,272,159,552,411,328
,14,1037,266,158,551,360,324
,15,1034,268,158,552,250,320
,16,1034,271,158,557,179,309
,17,1034,269,158,557,172,289
,18,1033,269,157,556,222,247
,19,1033,272,157,556,373,127
,20,1035,252,159,556,436,8
,21,1036,253,159,556,486,0
,22,1038,258,159,557,480,0
,23,1038,257,159,545,462,0
,24,1039,253,160,544,417,0
2011/5/2,1,1040,255,160,539,418,0
,2,1044,254,159,538,385,0
,3,1045,253,160,538,456,0
,4,1044,257,160,528,459,0
,5,1045,258,159,524,482,0
,6,1047,249,159,533,321,0
,7,1048,264,158,544,228,0
,8,1046,258,154,552,187,31
,9,1044,255,153,556,168,235
,10,1020,251,143,558,190,308
,11,955,248,121,557,253,325
,12,967,251,109,555,256,328
,13,1006,250,114,555,228,327
,14,1008,248,114,549,204,322
,15,1004,253,113,554,282,316
,16,1004,251,115,554,417,303
,17,1006,252,113,554,439,282
,18,1008,252,111,560,513,237
,19,1010,254,115,558,674,118
,20,1011,255,114,557,817,8
,21,1011,252,114,558,880,0
,22,1010,252,114,558,836,0
,23,1018,250,114,546,859,0
,24,1036,250,114,532,1038,0
2011/5/3,1,1046,251,127,531,1168,0
,2,1048,250,136,535,1025,0
,3,1051,250,140,542,1050,0
,4,1050,256,153,537,1174,0
,5,1050,261,160,535,1323,0
,6,1051,254,162,526,1260,0
,7,1047,251,158,533,1112,0
,8,1047,252,157,557,843,33
,9,1044,253,156,561,530,230
,10,1042,257,156,561,364,303
,11,1038,257,156,560,306,324
,12,1038,255,156,561,287,330
