Recorder ID, Start Time, Total, Int 1, Int 2, Int 3, Int 4, Int 5, Int 6, Int 7, Int 8, Int 9, Int 10, Int 11, Int 12, Int 13, Int 14, Int 15, Int 16, Int 17, Int 18, Int 19, Int 20, Int 21, Int 22, Int 23, Int 24, Int 25, Int 26, Int 27, Int 28, Int 29, Int 30, Int 31, Int 32, Int 33, Int 34, Int 35, Int 36, Int 37, Int 38, Int 39, Int 40, Int 41, Int 42, Int 43, Int 44, Int 45, Int 46, Int 47, Int 48, Int 49, Int 50, Int 51, Int 52, Int 53, Int 54, Int 55, Int 56, Int 57, Int 58, Int 59, Int 60, Int 61, Int 62, Int 63, Int 64, Int 65, Int 66, Int 67, Int 68, Int 69, Int 70, Int 71, Int 72, Int 73, Int 74, Int 75, Int 76, Int 77, Int 78, Int 79, Int 80, Int 81, Int 82, Int 83, Int 84, Int 85, Int 86, Int 87, Int 88, Int 89, Int 90, Int 91, Int 92, Int 93, Int 94, Int 95, Int 96,,,,
MCPEL_H09,2009/4/30,2498.99,17.94,14.95,11.87,12.27,15.66,14.76,12.68,12.03,10.83,9.59,9.59,11.02,12.39,11.02,9.73,9,8.99,9.72,10.82,12.3,9.71,13.16,14.02,9.89,9.44,12.98,15.74,16.92,17.48,17.31,16.08,17.04,18.08,17.31,18.16,20.4,18.08,19.9,20.39,21.23,25.56,21.9,26.47,27.99,27.99,27.08,27.99,29.09,30.19,29.69,27.7,29.33,30.49,31.09,33.18,35.38,34.15,42.48,43.2,36.33,34.18,35.88,36.73,42.48,60.39,242.54,41,39.49,35.59,38.72,39.53,38.45,36.67,33.42,30.06,28.24,29.01,27.99,21.9,21.75,28,28.54,27.99,27.99,28.02,25.2,20.91,17.31,27.48,27.2,28.96,27.52,30.25,24.93,20.2,16.71,,,,
MCPEL_H09,2009/5/1,1840.25,18.73,27.16,17.21,16.36,19.03,18.49,18.49,17.67,18.51,17.54,15.73,15.76,15.76,15.18,14.67,14.21,15.17,15.57,16.52,16.3,16.66,17.4,18.53,16.95,14.71,15.92,21.28,21.27,16.25,16.69,16.25,16.66,16.25,18.57,20.32,20.95,17.67,19.03,19.46,19.04,17.52,19.26,19.26,21.09,17.78,19.08,20.08,19.84,17.97,19.06,19.1,20.7,18.65,18.79,18.54,18.61,18.78,19.29,19.58,20.99,24.94,25.05,24.91,25.35,24.94,22.03,21.25,21.5,21.89,21.25,20.4,20.89,19.58,19.29,17.7,16.97,16.62,15.61,15.64,16.23,19.01,19.26,18.49,19.05,19.78,18.49,16.51,15.61,24.82,24.91,24.95,24.58,30.16,25.92,21.1,17.68,,,,
MCPEL_H09,2009/5/2,3100.14,464.43,41.15,29.79,27.67,40.01,33.14,29.99,29.38,29.79,28.07,25,23.46,23.69,23.46,21.6,21.4,23.46,23.46,21.31,19.92,21.7,23.46,23.46,17.35,17.58,19.5,17.18,17.18,16.99,16.89,16.85,16.81,16.43,17.1,20.67,23.46,23.46,26.1,27.6,25,19.06,19.92,21.05,21.05,28.52,32.98,35.01,36.04,35.33,37,35.86,35.75,32.57,34.83,35.01,35.75,36.24,37.16,38.49,39.84,40.6,39.28,40.21,37.93,32.45,31.98,31.51,33.92,30.39,29.43,29.12,28.98,28.61,29.99,31,32.29,29.46,27.58,27.17,27.37,28.33,29.41,29.11,28.59,27.65,25.01,23.46,21.05,29.99,29.99,29.09,26.97,28.49,26.78,24.94,19.6,,,,
MCPEL_H09,2009/5/3,2388.05,23.46,23.46,23.46,19.89,29.99,23.46,16.9,17.6,28.97,24.94,23.46,21.6,23.93,25.74,26.17,25.86,23.46,21.6,19.62,19.56,19.69,20.36,21.6,14.8,16.27,16.6,17.25,17.23,15.89,14.25,14.25,13.2,14.25,15.89,16.48,19.92,17.16,19.99,20.96,20.75,21.05,25,28.21,28.97,27.23,25.44,27.35,29.49,32.7,32.3,32.66,32.8,30.4,31.11,31.62,32.63,29.99,32.38,32.28,32.66,30.4,32.89,33.98,34.56,34.45,34.45,32.77,29.99,28.7,28.76,28.83,29.53,26.59,26.69,26.67,26.49,24.57,25.99,25.18,27.17,28.7,30.55,30.67,31.54,32.45,31.25,29.54,26.55,27.12,26.79,22.3,16.48,19.92,15.44,12.14,11.76,,,,
MCPEL_H09,2009/5/4,2273.32,14.19,13.78,12.24,11.76,20.39,14.42,15.61,14.62,14.8,13.97,12.89,12.9,14.42,14.25,15.07,17.09,20.3,17.1,17.09,16.89,21.6,22.08,27.43,20.92,14.42,16.85,19.87,20.36,19.99,19.91,19.99,19.5,19.87,19.99,20.36,21.02,19.99,20.48,21.02,22.51,20.92,23.46,23.46,19.99,19.99,19.99,20.02,24.51,23.15,22.14,25.19,27.21,27.92,29.99,30.92,35.21,29.99,32.55,35.42,43.06,29.99,31.8,31.99,33.8,33.3,33.23,33.98,33.7,33.21,33.48,32.66,31.41,28.83,27.7,25.89,23.76,21.02,20.96,20.79,20.79,28.33,31.11,32.66,31.39,31.49,28.93,27.65,22.42,30.57,30.28,29.97,24.23,30,24.9,22.08,17.99,,,,
MCPEL_H09,2009/5/5,2464.28,30.34,28.72,22.56,19.81,23.71,22.55,18.13,17.94,22.55,20.39,18.55,15,15.85,14.74,16.15,16.2,13,13,13.99,16.06,13.99,15.87,22.55,23.31,15.2,17.8,20.67,24.5,28.34,22.55,19.99,20.48,23.22,22.55,23.58,20.4,23.03,23.86,20.81,22.72,20.48,21.49,30.89,31.38,21.19,30.37,29.31,26.65,19.19,20.79,30.06,30.76,24.91,27.7,31.01,32.01,31.01,31.01,31.84,35.01,33,34.33,34.93,34.46,34.7,35.18,35.01,35.1,34.59,34.64,34.33,32.73,30.99,30.99,26.67,24.8,24.8,23.42,21.76,22.52,22.52,28.11,29.56,30,30.99,30.99,30.14,29.94,51.15,36,31.57,29.41,30.27,26.98,23.42,22.56,,,,
MCPEL_H09,2009/5/6,2762.27,30.5,28.75,21.92,18.1,30.99,25.16,20.74,18.8,20.39,19.04,18.47,18.43,17.84,17.5,16.8,16.78,14.42,14.42,16,16.6,16.78,17.04,20.4,25.16,16.78,19.34,22.23,20.79,22.23,23.85,22.23,19.99,20.79,22.23,23.85,23.85,22.23,22.23,25.16,25.1,22.55,22.55,30.1,30.98,30.68,33.01,32.72,34.5,32.21,32.58,32.68,34.5,34.87,36.33,38.44,38,33.98,34.94,35.6,36.3,37.01,38.94,40.18,43.7,40.29,44.4,46,46.4,45.1,44.5,43.3,43.01,41.19,38.57,38.06,37.06,36.13,35.98,33.46,33,36.77,37.01,36.35,36.02,34.5,31.97,29.83,24.38,31.48,30.39,29.1,23.3,27.44,21.28,18.24,16.5,,,,
MCPEL_H09,2009/5/7,4822.64,32.65,26.51,23.04,19.69,29.68,22.76,19.59,18.9,18.08,17.2,17.3,17.69,16.71,15.61,14.3,13.99,13.44,14.25,16.03,16.58,18.07,18.34,26.41,26.41,17.69,19.05,25.82,21.7,21.95,22.79,22.59,21.7,18.24,20,21.95,21.59,21.95,22.5,21.79,23.78,23.88,28.56,30.45,30.11,23.48,25.1,29.79,30.11,33.7,32.94,33.25,33.65,30.11,31.45,32.74,34.3,33.55,33.1,33.9,37.11,35.88,37.51,38.26,39.1,38.99,37.43,37.51,37.72,37.09,37.39,36.96,37.51,37.28,36.01,35.01,36.01,37.35,34.35,32.06,31.57,33.7,33.4,33.2,32.09,33.8,33.6,33.2,27.93,2159.2,35.9,35.54,32.49,36.93,35.85,30.98,24.24,,,,
MCPEL_H09,2009/5/8,3477.12,26.9,23.85,21.76,19.7,29.87,23.1,20.04,18.65,17.95,16.11,16.3,16.27,18.9,16.7,16.5,16.07,17,16.71,18.24,19,14.8,19.83,22.17,25.41,18.6,23.68,29.91,25.41,23.85,23.85,22.6,22.5,20.95,22.17,25.7,26.56,27.24,33.56,34.19,33.61,32.46,33.08,36.08,36.59,34.97,36.67,39.38,40.3,39.39,40.17,41.51,43.38,46.44,55.01,249.95,257.92,44.03,45.65,49.29,55.01,48.9,48.8,51.46,55.01,48.44,47.73,45.73,45.3,44.42,42.99,41.91,41.71,39.8,38.81,36.8,36.36,34.33,29.96,26.5,25.93,27.3,27.3,30.11,31.2,31.87,27.3,23.98,22.24,37.64,35.07,34.22,33.55,38.55,36.52,33.89,32,,,,
MCPEL_H09,2009/5/9,3794.5,47.74,40.71,38.77,38.77,443.04,245.27,54.94,45.63,45.39,40.4,38.05,35.71,30.61,23.63,23.54,23.05,21.94,19.76,19.93,19.96,18.33,21.54,29.28,24.96,21.94,23.51,30.53,23.51,21.61,18.8,20.34,21.83,21.94,23.69,23.69,25.5,25.5,28.1,32,33.55,35.37,38.22,40.01,40.33,36.97,37.64,40.01,45.61,37,37.64,37.64,37.17,36.77,36.77,36.24,37.64,37.64,37.22,36.9,37.31,37.29,38.64,40.55,38.64,42.21,44.14,45.53,44.61,44.26,42,40.89,41.15,43.01,42.03,37.64,36.12,35.07,33.01,27.18,26.39,28.2,28.2,28.9,31.51,27.5,24.24,23.6,22.03,34.45,34.4,33.22,30.61,37.64,33.81,26.24,22.5,,,,
